ich	I
sie	she, they
die	the; which
sein	be; his
du	you
nicht	not
und	and
es	it
was	what, which
wir	we
er	he
zu	to; too
ein	a; one
in	in
mit	with
wie	how; as
ja	yes
auf	on; up
so	so, such; so
aber	but
hier	here
für	for
von	from, of
haben	have
dass	that
wenn	when, if
an	at, on
da	there; since
nein	no
noch	yet; nor
nur	only
ihr	her, you, their
wissen	know
sich	oneself
aus	from, of
können	can
gut	well; good
auch	also
schon	already
jetzt	now
mal	times
dann	then
meinen	think, mean
als	when, than, as
um	around; (in order) to
mein	my
doch	but; yes
werden	will; become
kein	no
nach	to, after
all	all
man	you, one
oder	or
nichts	nothing
wo	where
wollen	want
gehen	go
mehr	more
warum	why
bitte	please
etwas	something; some
bei	at, with
müssen	must
los	wrong; loose
immer	always
vor	in front of, before; ago
wieder	again
sehr	very
sehen	see
sagen	tell
also	so
wer	who
denn	because
machen	make
dies	this
kommen	come
danken	thank
tun	do
geben	give
nie	never
über	over
sollen	should
vielleicht	perhaps
Weg	way, road; away
dein	your
Leben	life
viel	a lot (of)
wirklich	really; real
heute	today
ganz	quite; full
Zeit	time
bis	to; until
einfach	simple; simply
zurück	back
nun	now
weil	because
damit	so (that); with it
na	well
zwei	two
hallo	hello
sicher	sure; safely
morgen	morning; tomorrow
ab	from
Leid	sorrow
lassen	let
Geld	money
lieb	dear
Tag	day
genau	exactly; exact
(he)raus	out
durch	by; through
schön	beautiful; beautifully
wohl	well, probably
klar	clear; clearly
glauben	believe
her	here
okay	okay
Nacht	night
ohne	without
Liebe	love
unser	our
jemand	someone
reden	talk
gerade	just; straight
ob	whether
hören	hear
mögen	like, may
dort	there
anderer	another
selbst	self; even
denken	think
paar	a couple (of)
weiter	further
Herr	Mister
Ordnung	order
passieren	happen
lange	a long time
gar	at all
hin	there; broken (coll)
gleich	same, immediately
Freund	friend, boyfriend
seit	since
Welt	world
Haus	house
natürlich	of course; natural
Abend	evening
drei	three
recht	right; law; quite (coll)
richtig	right
finden	find
wieso	why
bleiben	stay
tot	dead
unter	under
jung	young
essen	eat; food
davon	of it
nehmen	take
helfen	help
schnell	fast
warten	wait
wegen	because of
stimmen	be correct, vote
dafür	for that
dürfen	be allowed to
genug	enough
sonst	otherwise
Scheiße	shit
halt	stop
zusammen	together
gegen	against
Jahr	year
erst	first, only
stehen	stand
verdammt	damn
bringen	bring
niemand	nobody
brauchen	need
fragen	ask
wann	when
heißen	be called
sprechen	speak
jeder	every(body)
sofort	immediately
fertig	finished, ready
kennen	know
einmal	once
Sohn	son
halten	keep, hold
dabei	with it; there
Kind	child
allein	alone; only
bevor	before
Musik	music
WAHR	true, real
Kopf	head
Sache	thing
gern	gladly
enden	end
spät	late
vergessen	forget
(he)runter	down
fahren	drive
Name	name
dank	thanks to
eins	one
daran	about that
dazu	to that
egal	(all) the same
weit	far
sterben	die
Minute	minute
verstehen	understand
Hilfe	help
beide	both
bald	soon
klein	small
Baby	baby
Glück	luck, happiness
verrückt	crazy; crazily
ruhig	quiet; quietly
darüber	about it
Tür	door
Wasser	water
Auto	car
eigentlich	actually; actual
euer	your
Ruhe	silence
töten	kill
vorbei	by; over
Krieg	war
je	ever, each
darauf	on that
letzter	last
lang	long
bisschen	(a) little
hoch	high
fast	almost
schauen	look
sogar	even
spielen	play
hinter	behind
Ding	thing
Mama	mom
bekommen	get
oben	above
bereit	ready
d(a)rin	in it
neu	new; newly
woher	from where
Wagen	car; dare
arbeiten	work
etwa	about
echt	real; really
Geschichte	history, story
treffen	meet, hit
toll	great
draußen	outside, out
fünf	five
Zimmer	room
Job	job
nett	nice; nicely
groß	large
anders	differently
sorgen	care, worry
welcher	which
einzig	only
Art	type
liegen	lie
verloren	lost
vier	four
alt	old
Kerl	guy
gestern	yesterday
wenig	few, little
bestimmt	certainly; certain
kurz	short; shortly
überhaupt	at all
darum	that is why; around that
Schwester	sister, nurse
schwer	hard, heavy; hard
suchen	look for
zeigen	show; appear
Film	movie
schlecht	bad; poorly
deshalb	that's why
holen	get
hoffen	hope
Bett	bed
Seite	page, site
gefallen	like; favor; pleasure
eben	just; even
Stunde	hour
Herz	heart
wohin	where
trinken	drink
Mensch	human, person
unten	below
Gesicht	face
versuchen	try
Fall	case, fall
verlassen	leave; abandoned
endlich	finally; finite
schlafen	sleep
ziemlich	quite; considerable
manchmal	sometimes
Fest	celebration; firm; firmly
wiedersehen	see again
laufen	run, walk
zwischen	between
niemals	never
während	during; while
Idee	idea
Nummer	number
sondern	but
frei	free; freely
oft	often
Entschuldigung	apology, sorry
ernst	serious; seriously
Schule	school
erzählen	tell
einiger	some
bloß	only; mere
entschuldigen	excuse
setzen	set; sit
bedeuten	mean
Feuer	fire
passen	fit, match
Schuld	fault, debt
d(a)rauf	on it
Platz	place
Papa	dad
Spaß	fun
wichtig	important
Blut	blood
hierher	here
reichen	be enough, reach
glücklich	happy; happily
kaum	hardly
zuerst	at first
stellen	put, stand
falls	if, in case
früh	early
sechs	six
Freundin	girlfriend, friend
lieben	love
Teil	part
langsam	slowly; slow
scheinen	seem, shine
früher	earlier; former
Telefon	phone
Himmel	sky
lernen	learn
zehn	ten
willkommen	welcome
Luft	air, breath
Licht	light
Menge	amount
voll	full
überall	everywhere
Erde	earth
rufen	call
möglich	possible
Eltern	parents
außer	except; without
nah	close
ziehen	pull
Mädchen	girl
wahrscheinlich	probably; likely
nennen	call
FALSCH	wrong; incorrectly
ehrlich	honest; honestly
irgendwas	something
heiraten	marry
Stück	piece
Doktor	doctor
Kaffee	coffee
krank	sick
danach	then, after
Arzt	doctor
schaffen	create, accomplish
völlig	completely; complete
weh	sore, hurt
drüben	over there
Büro	office
irgendwie	somehow
eigen	own
Problem	problem
Wert	value
buchen	book
kaufen	buy
erinnern	remind; remember
direkt	directly; direct
trotzdem	nevertheless
schreiben	write
still	quiet; quietly
Körper	body
retten	save
solcher	such
sitzen	sit
leider	unfortunately
Typ	type
Schlüssel	key
tragen	wear, carry
zwar	though
bereits	already
leicht	easy; easily
Schiff	ship
verlieren	lose
Vater	father
klingen	sound
irgendwo	somewhere
planen	plan
verschwinden	disappear
interessieren	interest
kämpfen	fight
Party	party
hinten	in the back
Kumpel	mate (coll)
General	general
böse	angry, evil
Liebling	darling
acht	eight
froh	glad
hart	hard
vorsichtig	carefully; careful
Zeug	stuff
damals	then
lesen	read
Mist	shit, manure
Zug	train
Geschäft	business, shop
aufhören	stop
Klasse	class
Boss	boss
erklären	explain
fliegen	fly
Laden	shop; load
stolz	proud; proudly
stark	strong; strongly
hassen	hate
fort	away
genauso	equally
Mai	May
besonders	especially
weiß	white
Ärger	trouble
fühlen	feel
Verzeihung	sorry, forgiveness
schicken	send
erwarten	expect
Nachricht	message, news
funktionieren	work, operate
wovon	about what
Gefängnis	prison
Krankenhaus	hospital
umbringen	kill
total	total; totally
vorstellen	imagine, introduce
Sinn	sense, meaning
ändern	change
heraus	out
tanzen	dance
lachen	laugh
nachdem	after
Arm	arm, poor
fallen	fall
wenigstens	at least
geschehen	happen
folgen	follow
eher	rather
dumm	stupid; stupidly
deswegen	that's why
solange	as long as; while
lustig	funny
unmöglich	impossible; not possibly
Bild	picture
führen	lead, guide
unglaublich	incredibly; incredible
Vertrauen	trust
verletzen	hurt
cool	cool
meist	usually, mostly
vorher	before
plötzlich	suddenly; sudden
anrufen	call
Bewegung	movement
kümmern	take care of
(da)rüber	over there; about it
komisch	funny
super	great
sieben	seven
Augenblick	moment
herum	around, about
kalt	cold
wunderbar	wonderful; wonderfully
großartig	great; superbly
Auge	eye
Tisch	table
rum	about; rum
Antwort	answer
schlimm	bad; badly
verheiraten	marry
Wort	word
Vorsicht	caution, care
bezahlen	pay
links	(to the) left
nochmal	again (coll)
Armee	army
bitten	ask
Finger	finger
zahlen	pay
Sicherheit	safety
verkaufen	sell
wozu	why; to which
müde	tired; tiredly
Seele	soul
schießen	shoot
Sonne	sun
selber	oneself
reisen	travel
Team	team
sobald	as soon as
meistern	master
Anfang	beginning
fangen	catch
außerdem	also
Sex	sex
Reise	journey
laut	loud; loudly; according to
Grund	reason
klappen	work (out)
Amerika	America
gefährlich	dangerous; dangerously
gewinnen	win
obwohl	although
Monat	month
behalten	keep
legen	put, lie down
Präsident	president
rechts	(to the) right
anfangen	start
Schluss	end
hübsch	pretty
versprechen	promise
Chef	boss
perfekt	perfect; perfectly
schlagen	beat, hit
tatsächlich	actually; actual
dagegen	however; against this
erfahren	learn; experienced
Mord	murder
Nähe	vicinity
nötig	necessary
offen	open; openly
wach	awake
singen	sing
Beispiel	example
sowieso	anyway
jedenfalls	anyhow
Schwein	pig, pork (coll)
zielen	aim
verdienen	deserve, earn
Geist	spirit, mind, ghost
schreien	scream
Anwalt	lawyer
Show	show
Heim	home
ehren	honor, dignify
unterwegs	on the way, away
reich	rich, empire
Wunder	miracle
Opfer	victim
bekannt	known
hauen	cut, hit
weder	neither
Rücken	back, move
jemals	ever
Partner	partner
Gefahr	danger
Regel	rule
absolut	absolute; absolutely
tief	deep
Befehl	command, order
geschickt	skilled
Wette	bet
gebären	give birth to
Kraft	force; by virtue
Bar	bar; cash
Richtung	direction
Professor	professor
stecken	plug, put
ständig	constantly; constant
erwischen	catch
schrecklich	terrible; terribly
Weise	way; wise
Frieden	peace, tranquility
verliebt	in love; fondly
ehe	before, marriage
dahin	there
wofür	for what
dauern	last
neben	next; next to
Raum	room
benutzen	use
Regierung	government
fernsehen	watch TV; TV
Karte	map, card
Hunger	hunger
diesmal	this time
Preis	price, award
Geschenk	present
hoffentlich	hopefully
manch	some
ansehen	look (at)
Lage	location
wünschen	wish
fehlen	lack
Willen	(for) sake, will
Bescheid	decision, notification
heiß	hot; hotly
Bulle	bull; cop (coll)
Gericht	dish, court
genießen	enjoy
bewegen	move
Geburtstag	birthday
ewig	forever; eternal
Schaden	damage
pro	per
traurig	sad; sadly
Gesellschaft	society, company
Punkt	point
Freiheit	freedom
darin	in it; inside
Weile	while
jawohl	of course
derselbe	the same
Maul	mouth (coll)
Taxi	taxi
erreichen	achieve
Foto	photo
unbedingt	necessarily; unconditional
aussehen	look (like); looks
drehen	turn
Tee	tea
erledigen	handle, take care of
Wein	wine
Weihnachten	Christmas
irgendwann	sometime
Lust	desire, pleasure
Bein	leg
Firma	company
lügen	lie
fürchten	be afraid of
kaputt	broken
Ball	ball
Haar	hair
seltsam	strange; strangely
weinen	cry
Vergnügen	pleasure; have fun
sauber	clean; neatly
Zuhause	home
Zeichen	sign
herein	in, inside
Liste	list
normal	normal; normally
schätzen	appreciate, estimate
Blick	look
stehlen	steal
vorne	ahead
neun	nine
nämlich	namely, after all
lehren	teach
wunderschön	beautiful, beautifully
freuen	look forward to; please
gehören	belong; be proper
schwören	swear
nervös	nervous; nervously
Hals	throat, neck
Glas	glass
verstecken	hide
Feind	enemy
verzeihen	forgive
öffnen	open
Madame	madame
süß	sweet
Entscheidung	decision
erschießen	shoot (dead)
verändern	change
wohnen	live, stay
Schuh	shoe
interessant	interesting; interestingly
übrigens	by the way
verraten	betray; reveal
besuchen	visit, attend
beweisen	prove
Sekunde	second
Insel	island
Gruppe	group
antworten	answer
werfen	throw
persönlich	personally; personal
gegenüber	opposite
Drink	drink
Fuß	foot
gucken	look (coll)
übrig	left, spare
Geheimnis	secret
ungefähr	about; approximate
nahe	near
Buch	book
Weib	woman (coll)
Zeitung	newspaper
zufrieden	satisfied; contentedly
zweiter	second
Loch	hole
Teufel	devil
statt	instead of
worauf	at what
sauer	sour, angry (coll)
erkennen	recognize
entfernt	remote; away
mitnehmen	take
Anruf	call
Traum	dream
kosten	cost; costs
Fisch	fish
schuldig	guilty; guiltily
zumindest	at least
entweder	either
miteinander	together
träumen	dream
sowas	something like that (coll)
schmerzen	hurt
fischen	fish
furchtbar	terribly; terrible
vorwärts	forward
teilen	share, divide
Kontakt	contact
entlang	along
Küche	kitchen, cuisine
wütend	angry; angrily
Überraschung	surprise
Gebäude	building
hängen	hang
Eis	ice, ice cream
zerstören	destroy
Koffer	suitcase
schwarz	black
Mann	man
witzig	funny; funnily
schließlich	finally; final
drinnen	inside
soweit	as far as; so far
entscheiden	decide
erhalten	get
bauen	build
Kleid	dress
übel	bad; badly
überleben	survive
hinaus	out
beeilen	hurry
beschäftigen	employ; deal
Verbindung	connection
Königin	queen
Ecke	corner
halb	half
Bericht	report
Vergangenheit	past
Radio	radio
Beziehung	relationship
feiern	celebrate
verhaften	arrest
Maschine	machine
ermorden	murder
regnen	rain
betrunken	drunk
irgendetwas	something
Gefühl	feeling
(da)rauf	on it; up (coll)
beginnen	start
Quatsch	nonsense (coll)
Hälfte	half
England	England
schwierig	difficult; hard
Respekt	respect
Adresse	address
häufig	often; common
besorgen	get, procure
parken	park; parking
Flug	flight
Agent	agent
Hund	dog
Schritt	step
au	ouch
Bombe	bomb
gelassen	calmly; calm
Aufgabe	task
allerdings	though, certainly
Prinzessin	princess
treten	step, kick
unterscheiden	distinguish
gesund	healthy
steigen	rise
besorgt	concerned; anxiously
Fluss	river
indem	as, by
bisher	so far
Tor	gate, goal
Glückwunsch	congratulation
blöd	stupid; stupidly
Hintern	butt; behind the
Dach	roof
Pistole	gun
leiden	suffer, tolerate
System	system
worüber	about what
Rennen	race; run
küssen	kiss
leisten	perform, afford
vermissen	miss
Verbrechen	crime; commit a crime
melden	report
verantwortlich	responsible
erfolgen	take place
besonderer	special
Natur	nature, countryside
Lächeln	smile
Auftrag	order, contract
aufhalten	stop
davor	before, before that
deutsch	German
überraschen	surprise
Baum	tree
leer	empty
morgens	in the morning
Wand	wall
schließen	close
schützen	protect
bestehen	exist, pass
rauchen	smoke; smoking
Schwierigkeit	difficulty
Stein	stone
mitten	in the middle
hinein	in, inside
Hose	pants
zuvor	before
prima	great; fine
Beruf	profession
lächerlich	ridiculous; ridiculously
beschützen	protect
befehlen	command, order
vermutlich	probably; suspected
englisch	English
gemeinsam	together; common
Pause	pause, break
aufpassen	pay attention
einverstanden	agreed
brechen	break
drucken	print
daher	therefore
übernehmen	take; overdo
Nachmittag	afternoon
Schätzchen	sweetie
Rock	skirt, rock music
fassen	take, believe
mitbringen	bring
dorthin	there
unterhalten	support; talk
angreifen	attack
beruhigen	calm
offensichtlich	obviously; obvious
kapieren	understand (coll)
frühstücken	have breakfast
stören	disturb
Farbe	color
zufällig	random; by chance
Mission	mission
Unternehmen	company
notwendig	necessary
fantastisch	fantastic; fantastically
Spur	track
Frühstück	breakfast
vertragen	tolerate, take
dienen	serve
verpassen	miss
Mörder	murderer
irgendwelcher	any
Stock	floor, stock, stick
mitkommen	come along
gewiss	certainly; certain
schmecken	taste
Reihe	line
fern	far; away
d(a)rüber	about it
Gang	gear, aisle gang
vollkommen	completely; perfect
rund	round
Restaurant	restaurant
Dreck	dirt
Untertitel	subtitle
warm	warm; warmly
Lager	stock, camp
atmen	breathe
daraus	from that
Gespräch	talk
leise	quietly; quiet
Flughafen	airport
schwanger	pregnant
Operation	operation
Gelegenheit	opportunity
dankbar	grateful; thankfully
Thema	theme
Verantwortung	responsibility
umsonst	free; for nothing
verbieten	prohibit
dick	thick; thickly
Nerv	nerve
erlauben	allow
Gast	guest
rollen	roll
Erfahrung	experience
rot	red
Gewalt	violence
entkommen	escape
riechen	smell
Strand	beach
aufstehen	get up
wahnsinnig	insane; madly
nachdenken	think
ober	upper; waiter
beenden	end
aha	aha, I see
Angebot	offer
gelten	apply to, be valid
Post	post office
Rolle	role
Frankreich	France
Gentleman	gentleman
Kugel	bullet, globe
Milch	milk
herausfinden	find out
mindestens	at least
Kuss	kiss
Knie	knee
worum	about what
graben	dig; ditch
voraus	ahead
blind	blind; unquestioningly
Schande	shame
Schönheit	beauty
Schatten	shade
schulden	owe
Badezimmer	bathroom
schwimmen	swim; swimming
formen	form
zweimal	twice
dunkel	dark; vaguely
siegen	win
Plan	plan; plain
Zufall	chance, coincidence
einladen	invite
Scherz	joke
gewöhnlich	usually; usual
Form	form
Fahrer	driver
ähnlich	similar (to); similarly
Verhalten	behavior; behave; cautious
Garten	garden
Großvater	grandfather
Energie	energy
Star	star
Kunst	art
Mädel	girl (coll)
Priester	priest
stoppen	stop, clock
Zustand	condition
Grenze	border
brennen	burn
Interesse	interest
Berg	mountain
soviel	as far as; so much
dringend	urgently; urgent
nutzen	use
entdecken	discover
Story	story
klingeln	ring
woanders	somewhere else
aufgeben	give up
bravo	bravo
nachher	later
stöhnen	groan
satt	full, rich
Sonntag	Sunday
woran	about what
normalerweise	usually
Kurs	course
anhalten	stop
Einheit	unit, unity
Mantel	coat
verlangen	require; desire
überlegen	consider; superior
Schüler	student
verbringen	spend
vorhin	earlier
Großmutter	grandmother
lauten	be (based)
durcheinander	mixed up
Dieb	thief
grenzen	border
weshalb	why
zweifeln	doubt
Zahn	tooth
kochen	cook; cooking
merken	notice, remember
verfolgen	pursue
Erinnerung	memory
fair	fair
längst	long ago
Norden	north
